Number,Conversation,Question,Choice1,Choice2,Choice3,Answer
7-310,"W: Good morning. M: Good morning. What can I do for you? W: I'd like a ticket to New York, please. M: Round trip? W: No, one way. M: Okey, that'll be $55. W: 55? Last time I took this coach it was only 50. Hmm, does this coach still leave 2:15? M: 2:15 at Gate 11. You ought to be at door by 2:00, though. W: Fine. M: Do you want to check in your suitcases? W: Just two. I'll carry the other one with me. M: That's good. We can check in two anyway. Give your baggage ticket to the driver when you get to New York W: Okay, thanks a lot. M: You're welcome. Have a good trip.",Where does this conversation take place?,At a railway station.,At a coach station.,At an airport.,At a coach station.
4-870,"M: What kind of dress are you looking for? W: Since it's getting warmer at this time of year, I want something light. What materials do you have? M: A cotton dress is suitable in spring. We have many kinds. What color would you like? I think yellow or green would be good colors for you. W: I'm afraid I want a white dress.",What's the probable relationship between the two speakers?,Husband and wife.,Salesman and customer.,Teacher and student.,Salesman and customer.
11-20,W: Tomorrow we're going to celebrate birthday for Jenny. M: So we have to buy a birthday cake and fifteen candles.,How old will Jenny be tomorrow?,15.,50.,5.,15.
4-1315,"M: Hi, Ann. I hear you've started evening discussions on popular music. How is it going? W: Pretty well. I must say I've learned a lot. But it would be nicer to have someone who knows more about the subject. Could you possibly join us? M: Certainly. When do you usually meet? W: We meet twice a week-Tuesday and Saturday. Is the time convenient for you? M: Tuesday is OK. But I don't think I can come on Saturday. W: What about Friday evenings? We hope to see you present. M: OK. I'm free on Friday evenings.",Why does the woman invite the man to attend the discussion?,Because he is free most of the time.,Because he is easy to get along with.,Because he knows a lot about pop music.,Because he knows a lot about pop music.
4-1211,W: What kind of shoes are those? M: They're bowling shoes. W: I've never seen such crazy colored footwear before! M: They are for sliding on the floor before you throw the ball down the lane.,What does the man say about the shoes?,They're for bowling.,They're very bright.,They keep you from falling down.,They're for bowling.
9-98,"W: Movie box offices sales have been down almost 10 percent this summer. What happened? M: Many things. Now they have more choices about how to spend their leisure time. DVD business certainly has effect on movie-going and obviously we need better quality of films and more entertaining ones. W: How about movie theaters? M: Most theaters today should be made more comfortable and cleaner. I hate to see the theater with stuff of garbage. I also think they should be better food available so that people feel good and enjoy there. W: I've heard some people complain that Hollywood releases too late films a year. What's your opinion? M: There are probably coining out on crowded days, in the summer and at Christmas time. But generally,there are films as we know. Well, personally, I think movies business today is still healthy and it's a great business too. Ever since everybody feels pretty good. W: If you want to relax yourself to watch a movie at home, what would be your choice? M: If I have to pick one, I choose to see the god father and the god father part n. I think these two are great films of all time.",Why is there a drop in the box office?,Audiences are bored with films of a similar theme.,People now have more spare time choices.,There are too few new films produced a year,People now have more spare time choices.
10-37,"M: Is it true that all of them survived the fire last night? W: Yes, a miracle, isn't it? There was a couple on the second floor and two women and three kids on the ground floor. But no one was badly hurt.",How many people were caught in the fire?,7.,5.,4.,7.
10-6,"R: Good evening, sir. Can I help you? M: Yes. I think I left my digital camera on the train from London earlier today. R: Did you, sir? Oh, well, in that case, we'd better fill in a Lost Property Form. Can you tell me your name? M: Yes, it's Mark Adams. R: OK. Your address? M: You mean in Britain or in the States? R: How long are you staying? M: Oh, I've still got a few months in Britain. R: OK, then can you give me your address here? M: Right. It's 18 Linden Drive, Laten Essex. Do you want the phone number? R: Yes, I'd better have that too. M: OK, 0809 45233. R: Thanks. And you say it was a digital camera, what make and model? M: It's Samsung G302. R: OK, got that. Now, you say it was the London train. What time did it arrive in Edinburgh? M: At 4:45 this afternoon. R: Well then, if we find it, sir, shall we phone you or write to you? M: No. I think I will drop in the day after tomorrow to check out. R: Right you are, sir. We'll do our best.",Which of the following is NOT needed for the Lost Property Form?,Name,Nationality,Address,Nationality
12-468,"M: Hello, Jane. I really want to know something about Mary. Do you know how can I get in touch with her? W: Peter, you can try this telephone number.",What will the man probably do?,Telephone Mary.,Go and see Mary.,Write Mary a letter.,Telephone Mary.
5-327,M: I think I'm going to give up playing tennis. I lost again today. W: Just because you lost? It that the reason to quit?,What does the woman imply?,The man should stick to what he's doing.,The man should take up a new hobby.,The man should stop playing tennis.,The man should stick to what he's doing.
4-166,"M: What shall we do this weekend? W: Did you have something special in mind? M: No, not really. I just thought it might be fun to do something new. W: Doing something for a change, you mean? M: Yes, something different. I need a change. W: I usually go shopping and have my hair done during the weekend and you usually watch the football games on TV. M: Yes, you often have tea with your friends. And I sometimes play cards with my friends. We seldom do anything together. It's quite unlike when we were first married. W: Now I've got an idea. Autumn is the best season in Beijing. Why don't we go for a picnic this weekend? You'll invite your friends and I'll invite mine. We'll go together. M: Good idea! I'd see about the car and you'll prepare the food. But are you sure you really want all our friends to come along?",Who are the two speakers?,A man and his wife.,A man and his sister.,A man and his girlfriend.,A man and his wife.
4-850,"M: Oh, no, it's Monday again. I always feel tired on Mondays. W: Oh, yeah. What did you do last night? M: Party at Lisa's. W: How interesting. How many people were there? M: Seventeen including Lisa herself. What did you do last night? W: I watched Gone with the Wind. M: Really? I didn't know it's playing again. W: It isn't. My brother has a tape and he brought it over, so we watched it at home.",What day was yesterday?,Monday.,Sunday.,Tuesday.,Sunday.
4-498,M: Why didn't you make a birthday cake for Peter? W: Because I didn't have enough butter and you weren't here to buy any. I really had my hands full.,Why didn't the woman make a cake?,She was very busy.,She was very angry with the man.,She hurt her hands.,She was very busy.
